File ID,Category,Original Description,Subcategory
001093,Idle,a person running to the right then the left to end up in the original spot.,running and turning around
M001093,Idle,a person running to the left then the right to end up in the original spot.,running and turning around
001102,Idle,"a person reaches in front of them with their left hand, then slide and press multiple things in front of them.",gesturing
M001102,Idle,"a person reaches in front of them with their right hand, then slide and press multiple things in front of them.",gesturing
001103,Idle,"a person picks up a horizontal object from their left side then places it vertically on their right, then they return to their left again.",gesturing and standing
M001103,Idle,"a person picks up a horizontal object from their right side then places it vertically on their left, then they return to their right again.",lifting and placing horizontal object
001104,Idle,a person waves with their right arm.,gesturing
M001104,Idle,a person waves with their left arm.,gesturing
001109,Idle,a person jumps around as if they are dancing in a club.,jumping and gesturing
M001109,Idle,a person jumps around as if they are dancing in a club.,jumping and gesturing
001125,Idle,person lifts right hand to mouth then scratches then right hand scratches left wrist,gesturing
M001125,Idle,person lifts left hand to mouth then scratches then left hand scratches right wrist,gesturing
001127,Idle,person is kicking and dribbling a soccer ball,kicking and gesturing
M001127,Idle,person is kicking and dribbling a soccer ball,kicking and gesturing
001130,Idle,a person hops side to side .,hopping
M001130,Idle,a person hops side to side .,hopping
001131,Idle,a person standing still and then walking a zig-zag,walking and turning around
M001131,Idle,a person standing still and then walking a zig-zag,walking and turning around
001162,Idle,a person who picks up something and puts it down to the left,gesturing
M001162,Idle,a person who picks up something and puts it down to the right,gesturing
001200,Idle,a person carelessly walking left to right.,walking
M001200,Idle,a person carelessly walking right to left.,walking in a circle
001208,Idle,he got something may be a cleaner then cleaned or worked on somrthing.,irrelevant
M001208,Idle,he got something may be a cleaner then cleaned or worked on somrthing.,irrelevant
001214,Idle,"a man hops on his right leg five times, makes a small jump, then steps forward into a strong push with both hands. he then returns to the starting position.",hopping and pushing
M001214,Idle,"a man hops on his left leg five times, makes a small jump, then steps forward into a strong push with both hands. he then returns to the starting position.",hopping and pushing
001220,Idle,a man is running in place before stopping.,running and standing
M001220,Idle,a man is running in place before stopping.,running and stopping
001230,Idle,"a person squats down, stands back up, and stretches his arms horizontally.",squating and stretching
M001230,Idle,"a person squats down, stands back up, and stretches his arms horizontally.",squating and stretching
001232,Idle,"a person picks up a phone and dials, calls then hangs up",irrelevant
M001232,Idle,"a person picks up a phone and dials, calls then hangs up",irrelevant
001247,Idle,a person kicks with right foot.,kicking
M001247,Idle,a person kicks with left foot.,kicking
001249,Idle,a person steps forward and reaches down to grab or place something with their left hand.,gesturing
M001249,Idle,a person steps forward and reaches down to grab or place something with their right hand.,gesturing
001254,Idle,"man has both hands on his hips, flares elbows outward and looks left. he drops both hands down at his sides and he waves hi several times with his right hand. he brings his right hand up to his mouth as if sneezing or coughing.",gesturing
M001254,Idle,"man has both hands on his hips, flares elbows outward and looks right. he drops both hands down at his sides and he waves hi several times with his left hand. he brings his left hand up to his mouth as if sneezing or coughing.",gesturing
001262,Idle,a person jogs in place,jogging
M001262,Idle,a person jogs in place,jogging
001265,Idle,"a person, standing still, shaking their arms and shoulders slightly.",gesturing
M001265,Idle,"a person, standing still, shaking their arms and shoulders slightly.",gesturing
001281,Idle,a person raises their right hand to their face.,gesturing
M001281,Idle,a person raises their left hand to their face.,gesturing
001300,Idle,"a person standing with legs apart, swats, bending at the knees and holding arms forward.",gesturing
M001300,Idle,"a person standing with legs apart, swats, bending at the knees and holding arms forward.",gesturing
001301,Idle,a person standing up uses both of their hands to swing an object with little force.,gesturing
M001301,Idle,a person standing up uses both of their hands to swing an object with little force.,gesturing
001306,Idle,a person jumps lifting his hands in the air .,jumping and gesturing
M001306,Idle,a person jumps lifting his hands in the air .,jumping and gesturing
001308,Idle,a man is running in place,running and gesturing
M001308,Idle,a man is running in place,running and gesturing
001318,Idle,the person is walking back and forth.,walking and turning around
M001318,Idle,the person is walking back and forth.,walking in a circle
001324,Idle,"a person standing on a pedestal , saluting ahead.",standing and gesturing
M001324,Idle,"a person standing on a pedestal , saluting ahead.",standing and gesturing
001332,Idle,a standing person raises their hands to touch the back of the left wrist with the right hand and then lowers their hands again.,gesturing
M001332,Idle,a standing person raises their hands to touch the back of the right wrist with the left hand and then lowers their hands again.,gesturing
001341,Idle,a person is clapping his hands in front of his chest.,gesturing
M001341,Idle,a person is clapping his hands in front of his chest.,gesturing
001344,Idle,person may be moving something.,irrelevant
M001344,Idle,person may be moving something.,irrelevant
001348,Idle,person walking with a limp.,walking with a limp
M001348,Idle,person walking with a limp.,walking and limping
001360,Idle,the person is running in circles.,running and turning around
M001360,Idle,the person is running in circles.,running and turning around
001363,Idle,"a person walks back and forth, extending out their left and right arm before turning around to repeat.",walking and gesturing
M001363,Idle,"a person walks back and forth, extending out their right and left arm before turning around to repeat.",walking and gesturing
001369,Idle,"a person walks forward, raises his right arm in front of him, then lowers his arm and walks backwards.",walking and gesturing
M001369,Idle,"a person walks forward, raises his left arm in front of him, then lowers his arm and walks backwards.",walking and gesturing
001374,Idle,a person waves with their right hand. seems friendly,gesturing
M001374,Idle,a person waves with their left hand. seems friendly,gesturing
001380,Idle,"a person bent slightly over and picked something up with right hand and turned to right and  shaking item, looks as if is cooking and adding items to a pot of water.",gesturing and standing
M001380,Idle,"a person bent slightly over and picked something up with left hand and turned to left and  shaking item, looks as if is cooking and adding items to a pot of water.",gesturing
001384,Idle,a person lifts his left hand and waves his hand to say hello then puts left hand back down,gesturing
M001384,Idle,a person lifts his right hand and waves his hand to say hello then puts right hand back down,gesturing
001400,Idle,"a person picks up an object by bending down, then moves it to the right and places it back down.","bending down, then moving to the right and placing back down"
M001400,Idle,"a person picks up an object by bending down, then moves it to the left and places it back down.",bending down and gesturing
001407,Idle,a person takes big steps/lunges starting in a leftwards motion beginning to make a square shape,stepping in a circle
M001407,Idle,a person takes big steps/lunges starting in a rightwards motion beginning to make a square shape,lunge and gesturing
001411,Idle,a person cleaning the window,irrelevant
M001411,Idle,a person cleaning the window,irrelevant
001420,Idle,person walks to the left of the screen and starts pacing,walking and turning around
M001420,Idle,person walks to the right of the screen and starts pacing,walking and turning around
001422,Idle,a person starts off standing forward then jumps backwards.,jumping and turning around
M001422,Idle,a person starts off standing forward then jumps backwards.,jumping and turning around
001435,Idle,a person takes a book from a shelf with his left hand.,irrelevant
M001435,Idle,a person takes a book from a shelf with his right hand.,irrelevant
001440,Idle,a person does a jumping-jack.,jumping
M001440,Idle,a person does a jumping-jack.,jumping
001447,Idle,"a person steps forward with his right foot, then returns his right foot to its original position.",standing and stepping
M001447,Idle,"a person steps forward with his left foot, then returns his left foot to its original position.",standing and turning around
001451,Idle,a man side steps to the left and the walks forward beofre turning around and walking back.,side stepping and turning while walking
M001451,Idle,a man side steps to the right and the walks forward beofre turning around and walking back.,"side stepping and walking, turning around, walking back"
001453,Idle,quickly waving arms above head and then clapping while looking around.,gesturing and clapping
M001453,Idle,quickly waving arms above head and then clapping while looking around.,waving and gesturing
001454,Idle,a person walks backwards and stops.,walking and stopping
M001454,Idle,a person walks backwards and stops.,walking and stopping
001456,Idle,a man does four different body builder poses.,irrelevant
M001456,Idle,a man does four different body builder poses.,irrelevant
001459,Idle,robot start moving from left to right and then stopped.,irrelevant
M001459,Idle,robot start moving from right to left and then stopped.,irrelevant
001465,Idle,a person walks in a counter clockwise circle before stopping at their original position.,walking and turning around
M001465,Idle,a person walks in a counter counterclockwise circle before stopping at their original position.,walking and turning around
001471,Idle,"a person lifts something with both hands, tilts it, then sets it down",gesturing
M001471,Idle,"a person lifts something with both hands, tilts it, then sets it down",gesturing
001474,Idle,a person waves at something with their right hand.,gesturing
M001474,Idle,a person waves at something with their left hand.,gesturing
001479,Idle,the person is picking up something.,picking up something
M001479,Idle,the person is picking up something.,irrelevant
001482,Idle,"a person warming up his hands and legs, while standing on the place",standing
M001482,Idle,"a person warming up his hands and legs, while standing on the place",standing and gesturing
001485,Idle,"a person walks down in an s pattern, bends down and picks something up and puts it down to the right twice in a row.",walking and gesturing
M001485,Idle,"a person walks down in an s pattern, bends down and picks something up and puts it down to the left twice in a row.",walking and gesturing
001495,Idle,person clapping while standing up.,gesturing
M001495,Idle,person clapping while standing up.,gesturing and standing
001496,Idle,the man picks something upright then lays it back down.,lifting and placing
M001496,Idle,the man picks something upleft then lays it back down.,gesturing
001826,Idle,a person is standing looking around.,standing
001830,Idle,"a person steps backwards with their right foot before stepping forwards to the right with their left foot, and swapping the motion repeatedly.",walking and turning around
001832,Idle,a person picks up an object and gently sets it on a shelf.,irrelevant
001835,Idle,a person standing up strikes their hands together well above their head.,standing and gesturing
001840,Idle,someone execures a roundhouse kick with their left foot.,gesturing
001843,Idle,a person standing in place lifts and waves with his right hand.,gesturing
001851,Idle,a man jumps twice with his arms relaxed at his sides.,jumping
001855,Idle,"a person raises his right hand above his shoulder and waves, then lowers his hand.",gesturing
001866,Idle,person stumbles around blindly going left to right finishing facing forward,stumbling and moving in a line facing forward
M001866,Idle,person stumbles around blindly going right to left finishing facing forward,stumbling
001878,Idle,a person walks diagonally to the left pauses with hand raised and then walks back.,walking and gesturing
M001878,Idle,a person walks diagonally to the right pauses with hand raised and then walks back.,walking and gesturing
001881,Idle,"the right arm aggressively extend out in front of the body and back, then steps back to release the right arm again with a kick from the right.",gesturing and kicking
M001881,Idle,"the left arm aggressively extend out in front of the body and back, then steps back to release the left arm again with a kick from the left.",gesturing and kicking
001887,Idle,a man stand and crossing legs,standing and crossing legs
M001887,Idle,a man stand and crossing legs,standing and crossing legs
001889,Idle,a person slowly walks clockwise in a full circle,walking and turning around
M001889,Idle,a person slowly walks counterclockwise in a full circle,walking and turning around
001891,Idle,a person walks sideways to the left.,walking and turning around
M001891,Idle,a person walks sideways to the right.,walking in a circle
001894,Idle,a person jogs in place and gradually picks up speed,jogging and accelerating
M001894,Idle,a person jogs in place and gradually picks up speed,running and gesturing
001895,Idle,a person takes off their t-shirt using their left arm.,irrelevant
M001895,Idle,a person takes off their t-shirt using their right arm.,irrelevant
001912,Idle,"a person fold arms, lowers them and then folds them again.",gesturing
M001912,Idle,"a person fold arms, lowers them and then folds them again.",gesturing
001919,Idle,a man is doing jumping jacks.,jumping and gesturing
M001919,Idle,a man is doing jumping jacks.,jumping and gesturing
001925,Idle,a person attempts to pick something up with their right hand and places it higher before walking around curving to the left.,gesturing and walking in a circle
M001925,Idle,a person attempts to pick something up with their left hand and places it higher before walking around curving to the right.,gesturing and walking in a circle
001936,Idle,"a person reaches down with his right hand to pick up a towel, and then uses the towel to dry something off.",gesturing
M001936,Idle,"a person reaches down with his left hand to pick up a towel, and then uses the towel to dry something off.",gesturing
001948,Idle,person crosses their arms so hands are touching or close to elbows then scratches opposite arms with opposite hands.,gesturing
M001948,Idle,person crosses their arms so hands are touching or close to elbows then scratches opposite arms with opposite hands.,gesturing
001955,Idle,a perpsn appears to be making hand signals. like cheering then stopping. like at a sporting event,gesturing
M001955,Idle,a perpsn appears to be making hand signals. like cheering then stopping. like at a sporting event,cheering and gesturing
001960,Idle,standing on one foot while the left foot moves behind the right leg.,standing and gesturing
M001960,Idle,standing on one foot while the right foot moves behind the left leg.,standing and gesturing
001964,Idle,a person is standing up putting their hands towards their face,standing
M001964,Idle,a person is standing up putting their hands towards their face,standing
001967,Idle,a person gestures picking something up then putting it down.,gesturing
M001967,Idle,a person gestures picking something up then putting it down.,gesturing
001968,Idle,the man runs backwards then stops.,running and stopping
M001968,Idle,the man runs backwards then stops.,running and stopping
001976,Idle,"a person casually struts in a clockwise oval almost back to their original position, swinging their arms lightly at their side as they walk.",walking and gesturing
M001976,Idle,"a person casually struts in a counterclockwise oval almost back to their original position, swinging their arms lightly at their side as they walk.",walking and gesturing
001982,Idle,a man is standing and holds his left hand out to receive or offer something.,standing and gesturing
M001982,Idle,a man is standing and holds his right hand out to receive or offer something.,standing and gesturing
001984,Idle,"a person walks backward a few steps, stops, then walks forward a few steps. then they turn to the left start walking diagonally to the right then they stop again. when they resume walking they walk backwards towards their right, then they stop again and walk forward a few steps.","walking and turning around
diagonally walking
walking backwards and to the right
walking forwards"
M001984,Idle,"a person walks backward a few steps, stops, then walks forward a few steps. then they turn to the right start walking diagonally to the left then they stop again. when they resume walking they walk backwards towards their left, then they stop again and walk forward a few steps.",walking and turning around and stopping and walking backwards and forwards and stopping
001986,Idle,a person walking side then back words then back up around.,walking and turning around
M001986,Idle,a person walking side then back words then back up around.,walking and turning around
001990,Idle,a person crosses arms in front of body and then moves them back to his sides.,gesturing
M001990,Idle,a person crosses arms in front of body and then moves them back to his sides.,gesturing
001996,Idle,the person is walking forward.,walking
M001996,Idle,the person is walking forward.,walking
001997,Idle,a man takes small jumps while throwing his arms up towards his head in a star motion.,jumping and gesturing
M001997,Idle,a man takes small jumps while throwing his arms up towards his head in a star motion.,jumping and gesturing
001999,Idle,"a person turns to the left, then looks at left wrist.",gesturing
M001999,Idle,"a person turns to the right, then looks at right wrist.",looking and gesturing
002004,Idle,a person walks to their left then walks to their right and then turns again to end up where they started.,walking and turning around
M002004,Idle,a person walks to their right then walks to their left and then turns again to end up where they started.,walking and turning around
002020,Idle,"the person appears to be picking something up, rotating it, and then putting it back down",gesturing
M002020,Idle,"the person appears to be picking something up, rotating it, and then putting it back down",gesturing
002021,Idle,a person checking for the time on his watch.,irrelevant
M002021,Idle,a person checking for the time on his watch.,irrelevant
002023,Idle,someone standing and moving hands,gesturing
M002023,Idle,someone standing and moving hands,gesturing
002029,Idle,a person jumps in place while flinging their arms and leg out and in.,jumping and gesturing
