File ID,Category,Original Description,Subcategory
M000218,Crossing,a person skips forward then twirls around while moving their arms,skipping and gesturing
000237,Crossing,a person walks slowly turning to the right.,walking and turning around
M000237,Crossing,a person walks slowly turning to the left.,walking and turning around
000255,Crossing,a person is walking heel to toe in a straight line.,walking in a straight line
M000255,Crossing,a person is walking heel to toe in a straight line.,walking in a straight line
000257,Crossing,a person walks forward slowly.,walking
M000257,Crossing,a person walks forward slowly.,walking
000266,Crossing,a person walks quickly and intentionally in a zig-zag pattern forward.,walking and gesturing
M000266,Crossing,a person walks quickly and intentionally in a zig-zag pattern forward.,walking and gesturing
000273,Crossing,a person is walking narrowly as if on a beam.,walking and turning around
M000273,Crossing,a person is walking narrowly as if on a beam.,walking and turning around
000287,Crossing,he is running very fast.,running
M000287,Crossing,he is running very fast.,running
000293,Crossing,a person is walking forward with very animated hand motions.,walking and gesturing
M000293,Crossing,a person is walking forward with very animated hand motions.,walking and gesturing
000307,Crossing,"the figure takes a few slighly hurried steps without raising their arms, it looks they are about to start running but haven't quite yet begun.",walking and gesturing
M000307,Crossing,"the figure takes a few slighly hurried steps without raising their arms, it looks they are about to start running but haven't quite yet begun.",walking and gesturing
000315,Crossing,a person walks in a clockwise circular motion,walking and turning around
000317,Crossing,figure is walking in a clockwise pace.,walking and turning around
M000317,Crossing,figure is walking in a counterclockwise pace.,walking and turning around
000337,Crossing,a person walks down stairs while holding a railing with his right hand.,walking and gesturing
M000337,Crossing,a person walks down stairs while holding a railing with his left hand.,walking and gesturing
000351,Crossing,person runs downwards in a curve while swining his arms,running and gesturing
M000351,Crossing,person runs downwards in a curve while swining his arms,running and gesturing
000365,Crossing,a person walks straight then turn to its left then walks straight again.,walking and turning around
M000365,Crossing,a person walks straight then turn to its right then walks straight again.,walking and turning around
000374,Crossing,a person walks forward one foot in front of another,walking
M000374,Crossing,a person walks forward one foot in front of another,walking
000376,Crossing,a man like figure walks forward in very slow motion and then stops.,walking and stopping
M000376,Crossing,a man like figure walks forward in very slow motion and then stops.,walking and stopping
000390,Crossing,a persons walks to the right,walking to the right
M000390,Crossing,a persons walks to the left,walking to the left
000407,Crossing,a person walking to the right.,walking to the right
M000407,Crossing,a person walking to the left.,walking to the left
000444,Crossing,a person walks in a circle,walking in a circle
M000444,Crossing,a person walks in a circle,walking in a circle
000463,Crossing,a person walks leisurely forward and then pivots to their right in a u-shape and then walking straight,walking and turning around
M000463,Crossing,a person walks leisurely forward and then pivots to their left in a u-shape and then walking straight,walking and turning around
000481,Crossing,person walks forward then stumbles back a bit then continues walking forwards,walking and turning around
M000481,Crossing,person walks forward then stumbles back a bit then continues walking forwards,walking and turning around
000492,Crossing,person is walking slowly and cautiously holding onto their sides,walking and gesturing
M000492,Crossing,person is walking slowly and cautiously holding onto their sides,walking and gesturing
000502,Crossing,takes a few steps forward and one step back and then more ateps forward,walking and turning around
M000502,Crossing,takes a few steps forward and one step back and then more ateps forward,walking and turning around
000520,Crossing,a person walks turning to the right.,walking and turning around
M000520,Crossing,a person walks turning to the left.,walking and turning around
000535,Crossing,a person carefully walks down in a straight line.,walking in a circle
M000535,Crossing,a person carefully walks down in a straight line.,walking in a straight line
000542,Crossing,a person does a light skip while walking,walking and gesturing
M000542,Crossing,a person does a light skip while walking,walking and gesturing
000550,Crossing,"a person walks forward, then strafes sideways.",walking and turning around
M000550,Crossing,"a person walks forward, then strafes sideways.",walking and turning around
000552,Crossing,person walks forward down two steps.,walking and turning around
M000552,Crossing,person walks forward down two steps.,walking and turning around
000564,Crossing,a person is walking forward swinging their arms side to side,walking and gesturing
M000564,Crossing,a person is walking forward swinging their arms side to side,walking and gesturing
000576,Crossing,a person walking around bouncing a ball.,walking and gesturing
M000576,Crossing,a person walking around bouncing a ball.,walking and gesturing
000577,Crossing,a person walking forward in a line.,walking in a line
M000577,Crossing,a person walking forward in a line.,walking in a line
000598,Crossing,a person crossing their legs and walking to the left,walking and gesturing
M000598,Crossing,a person crossing their legs and walking to the right,walking and gesturing
000605,Crossing,"a person walking forward, avoiding obstacles on the floor.",walking and avoiding obstacles
M000605,Crossing,"a person walking forward, avoiding obstacles on the floor.",walking and turning around
000607,Crossing,"a man walks across to page and reaches to grab something of a shelf, he then walks back in a complete circle before reaching downwards",walking and turning around
M000607,Crossing,"a man walks across to page and reaches to grab something of a shelf, he then walks back in a complete circle before reaching downwards",walking and turning around and reaching down
000615,Crossing,the person is walking forward and stepped over a gap.,walking and stepping over
M000615,Crossing,the person is walking forward and stepped over a gap.,walking and stepping over
000912,Crossing,walking forward with both hands swinging,walking and gesturing
000923,Crossing,"a man uses his hands to bounce a basketball twice and takes two big steps forward, then jumps up high with the basketball in his hands and brings his hands up and lets go of the basketball to score a point.",bouncing and scoring
000930,Crossing,a person steps forward with right foot.,walking
000933,Crossing,the person is walking forward.,walking
000934,Crossing,the person is walking forward.,walking
000936,Crossing,a man walks forward in an s pattern before stopping.,walking and turning around
000986,Crossing,a person is walking forward using their right arm for support on something.,walking and gesturing
M000986,Crossing,a person is walking forward using their left arm for support on something.,walking and gesturing
000998,Crossing,"while walking forward he appears to be pushed, he rights himself and continues walking.",walking and turning around
M000998,Crossing,"while walking forward he appears to be pushed, he lefts himself and continues walking.",falling
001021,Crossing,the person walks a couple of steps starting with the left foot,walking
M001021,Crossing,the person walks a couple of steps starting with the right foot,walking
001025,Crossing,"a person shuffles several steps forward, jumps, and shuffles several more steps forward.",shuffling and jumping
M001025,Crossing,"a person shuffles several steps forward, jumps, and shuffles several more steps forward.",shuffling and jumping
001030,Crossing,the person is walking back and forth at a very slow pace,walking and turning around
M001030,Crossing,the person is walking back and forth at a very slow pace,walking in a circle
001031,Crossing,a person running forward and going towards left.,running and gesturing
M001031,Crossing,a person running forward and going towards right.,running and gesturing
001064,Crossing,walking back and forth.,walking in a circle
M001064,Crossing,walking back and forth.,walking in a circle
001070,Crossing,a person walks in a relaxed way forward and then turns to walk back.,walking and turning around
M001070,Crossing,a person walks in a relaxed way forward and then turns to walk back.,walking and turning around
001077,Crossing,"this person begins to run forward in a counterclockwise circle, and then, they quickly turn around to run in a clockwise circle.",running and turning around
M001077,Crossing,"this person begins to run forward in a clockwise circle, and then, they quickly turn around to run in a counterclockwise circle.",running and turning around
001081,Crossing,a person walks and turns toward the right.,walking and turning around
M001081,Crossing,a person walks and turns toward the left.,walking and turning around
001097,Crossing,a person punches the air multiple times,gesturing
M001097,Crossing,a person punches the air multiple times,gesturing
001108,Crossing,a person is balancing on a narrow path.,standing and balancing
M001108,Crossing,a person is balancing on a narrow path.,standing and turning around
001112,Crossing,a man walks forward and then stops.,walking and stopping
M001112,Crossing,a man walks forward and then stops.,walking and stopping
001120,Crossing,person is walking forward.,walking
M001120,Crossing,person is walking forward.,walking
001124,Crossing,"a man walks straight forwards a few paces, swinging his arms gently, then stops.",walking and gesturing
M001124,Crossing,"a man walks straight forwards a few paces, swinging his arms gently, then stops.",walking and gesturing
001152,Crossing,a person performs a typical broadjump.,broadjumping
M001152,Crossing,a person performs a typical broadjump.,broadjumping
001153,Crossing,"a person walks a tightrope, swaying slightly from side-to-side as he maintains his balance.",walking and gesturing
M001153,Crossing,"a person walks a tightrope, swaying slightly from side-to-side as he maintains his balance.",walking and gesturing
001157,Crossing,a person walks forward then turns and walks back the other way.,walking and turning around
M001157,Crossing,a person walks forward then turns and walks back the other way.,walking and turning around
001167,Crossing,a person walks forward starting with their left foot for 5 steps.,walking
M001167,Crossing,a person walks forward starting with their right foot for 5 steps.,walking in a straight line
001180,Crossing,a person walking then stopping.,walking and stopping
M001180,Crossing,a person walking then stopping.,walking and stopping
001183,Crossing,"a person runs forward, then quickly turns off to the left.",running and turning around
M001183,Crossing,"a person runs forward, then quickly turns off to the right.",running and turning around
001184,Crossing,a person walking slowly with his feet apart .,walking in a circle
M001184,Crossing,a person walking slowly with his feet apart .,walking in a circle
001189,Crossing,robot started running from his right to left.,running
M001189,Crossing,robot started running from his left to right.,running
001218,Crossing,a man walks in a curved line.,walking in a circle
M001218,Crossing,a man walks in a curved line.,walking and turning around
001219,Crossing,a man walks forward and then comes to a stop.,walking and stopping
M001219,Crossing,a man walks forward and then comes to a stop.,walking and stopping
001224,Crossing,a person walks forward and stumbles when walking.,walking and falling
M001224,Crossing,a person walks forward and stumbles when walking.,walking and falling
001231,Crossing,a person walks slowly then stops,walking and stopping
M001231,Crossing,a person walks slowly then stops,walking and stopping
001257,Crossing,a person is walking then starts to slide to the right.,walking and sliding to the right
M001257,Crossing,a person is walking then starts to slide to the left.,walking and sliding	left
001261,Crossing,a person walks straight forward in a leisurely manner,walking in a circle
M001261,Crossing,a person walks straight forward in a leisurely manner,walking in a circle
001263,Crossing,a man slightly staggers to the right while walking down a slope.,staggering while walking down a slope
M001263,Crossing,a man slightly staggers to the left while walking down a slope.,walking and gesturing
001266,Crossing,a person is walking forward.,walking
M001266,Crossing,a person is walking forward.,walking
001268,Crossing,"the figure walks from the top to the bottom of the gray area, turns around and walks back to the top. the figure is high energy, skipping with each step and flailing both arms.",skipping and gesturing
M001268,Crossing,"the figure walks from the top to the bottom of the gray area, turns around and walks back to the top. the figure is high energy, skipping with each step and flailing both arms.",walking and gesturing
001270,Crossing,a man walkes slowly forward,walking
M001270,Crossing,a man walkes slowly forward,walking
001274,Crossing,"a person walks forward, turns, and runs back","walking and turning around, running"
M001274,Crossing,"a person walks forward, turns, and runs back","walking and turning around, running"
001283,Crossing,a person walks forward and stumbles.,walking and falling
M001283,Crossing,a person walks forward and stumbles.,falling and walking
001289,Crossing,the person is picking up and moving something.,gesturing
M001289,Crossing,the person is picking up and moving something.,gesturing
001291,Crossing,a person staggers while walking.,staggering while walking
M001291,Crossing,a person staggers while walking.,staggering while walking
001311,Crossing,"a person walks forward, stops, then lifts both arm up a little.",walking and gesturing
M001311,Crossing,"a person walks forward, stops, then lifts both arm up a little.",walking and gesturing
001312,Crossing,a person runs up and jumps then continues to run.,running and jumping
M001312,Crossing,a person runs up and jumps then continues to run.,running and jumping
001313,Crossing,a man walks forward while swaying his feet in a zig-zag path.,walking and gesturing
M001313,Crossing,a man walks forward while swaying his feet in a zig-zag path.,walking and gesturing
001326,Crossing,a person is walking forward while limping on the left leg.,walking and limping
M001326,Crossing,a person is walking forward while limping on the right leg.,walking and limping
001328,Crossing,a person walking around and then grabbing something and then grabbing something and then walking away again,walking and gesturing and grabbing and walking
001333,Crossing,a person walks carefully holding handrail with left hand.,walking and gesturing
M001333,Crossing,a person walks carefully holding handrail with right hand.,walking and gesturing
001335,Crossing,person was pushed from behind but cab standing.,falling
M001335,Crossing,person was pushed from behind but cab standing.,irrelevant
001337,Crossing,person walks in full circle,walking and turning around
M001337,Crossing,person walks in full circle,walking in a circle
001340,Crossing,a person steps forward and makes several hand gestures.,walking and gesturing
M001340,Crossing,a person steps forward and makes several hand gestures.,walking and gesturing
001357,Crossing,a person walking towards an edge and then stopping to examine.,walking and examining
M001357,Crossing,a person walking towards an edge and then stopping to examine.,walking and stopping
001372,Crossing,the person is walking a tight rope.,walking on tightrope
M001372,Crossing,the person is walking a tight rope.,walking on a tightrope
001388,Crossing,walking forward and getting pain in the left leg,walking and gesturing
M001388,Crossing,walking forward and getting pain in the right leg,walking and gesturing
001390,Crossing,"a person pretends to catch a basketball, shoot it twice, then dribble it.",gesturing and dribbling
M001390,Crossing,"a person pretends to catch a basketball, shoot it twice, then dribble it.",gesturing
001393,Crossing,a figure diagonally walks across a square shape.,walking in a circle
M001393,Crossing,a figure diagonally walks across a square shape.,walking and turning around
001397,Crossing,the person is synchronized walking forward.,walking
M001397,Crossing,the person is synchronized walking forward.,walking
001406,Crossing,a person walk forward cautiously with their hand against a surface.,walking and gesturing
M001406,Crossing,a person walk forward cautiously with their hand against a surface.,walking and gesturing
001409,Crossing,a person is jogging forward with their arms near their chest,jogging and gesturing
M001409,Crossing,a person is jogging forward with their arms near their chest,jogging and gesturing
001421,Crossing,the person walks forward while seeming to balance themselves by placing their hand on something to the left.,walking and gesturing
M001421,Crossing,the person walks forward while seeming to balance themselves by placing their hand on something to the right.,walking and gesturing
001427,Crossing,walks forward a few steps then slightly slips with the right foot and keeps walking to turn around again to walk.,slip and turning around and walking
M001427,Crossing,walks forward a few steps then slightly slips with the left foot and keeps walking to turn around again to walk.,slipping and turning around and walking
001441,Crossing,a person sprints to his left.,sprinting
M001441,Crossing,a person sprints to his right.,running
001442,Crossing,"a man walks forward fast, starting with his right leg.",walking
M001442,Crossing,"a man walks forward fast, starting with his left leg.",walking and gesturing
001445,Crossing,this person walks backward then forward while shuffling his feet.,walking and turning around
M001445,Crossing,this person walks backward then forward while shuffling his feet.,walking and turning around
001446,Crossing,an individual is running forward in at a normal paste.,running
M001446,Crossing,an individual is running forward in at a normal paste.,running
001466,Crossing,a person is calmly walking,walking
M001466,Crossing,a person is calmly walking,walking
001472,Crossing,figure walking around moving his right arm in a motion like he is bouncing a ball,gesturing and walking
M001472,Crossing,figure walking around moving his left arm in a motion like he is bouncing a ball,gesturing and walking
001481,Crossing,person standing walks forward then back with large kicking or marching gait,walking and turning around
M001481,Crossing,person standing walks forward then back with large kicking or marching gait,walking and gesturing
001833,Crossing,a person starts to jog slowly then begins slowing even more to a walk then a complete stop,jogging and stopping
001839,Crossing,a man seems to be walking forward and has a wide gait.,walking in a circle
001848,Crossing,person sprints forward three steps stops then sprints forward again,sprinting and turning around
001879,Crossing,person walks in a clockwise circle while swinging their arms.,walking and gesturing
M001879,Crossing,person walks in a counterclockwise circle while swinging their arms.,walking and gesturing
001882,Crossing,a person walks forward then stops.,walking and stopping
M001882,Crossing,a person walks forward then stops.,walking and stopping
001892,Crossing,a person paces a room nervously.,walking and gesturing
M001892,Crossing,a person paces a room nervously.,standing and gesturing
001901,Crossing,a person is walking briskly around a room,walking in a circle
M001901,Crossing,a person is walking briskly around a room,walking in a circle
001914,Crossing,a person walking forward and stumbling for a moment before regaining their composure,walking and falling
M001914,Crossing,a person walking forward and stumbling for a moment before regaining their composure,walking and falling
001929,Crossing,a person walks forward with their hands clasped then turns around.,walking and turning around
M001929,Crossing,a person walks forward with their hands clasped then turns around.,walking and turning around
001950,Crossing,a person jumps forward and kicks out with their right foot.,jumping and gesturing
M001950,Crossing,a person jumps forward and kicks out with their left foot.,jumping and gesturing
001959,Crossing,stick figure squats then jumps forward.,squating and jumping forward
M001959,Crossing,stick figure squats then jumps forward.,squating and jumping forward
001962,Crossing,a man walks forward and then comes to a stop.,walking and stopping
M001962,Crossing,a man walks forward and then comes to a stop.,walking and stopping
001970,Crossing,someone is walking casually forward.,walking
M001970,Crossing,someone is walking casually forward.,walking
001973,Crossing,a person is walking and is shy,walking and gesturing
M001973,Crossing,a person is walking and is shy,walking and gesturing
001978,Crossing,a figure standing walks forward right foot first then left then right then left then right before coming to a standstill,walking and turning around
M001978,Crossing,a figure standing walks forward left foot first then right then left then right then left before coming to a standstill,standing and turning around
001987,Crossing,a person walking forward while balancing on a narrow platform.,walking and balancing
M001987,Crossing,a person walking forward while balancing on a narrow platform.,walking and balancing
001994,Crossing,a person squats and quickly moves forward diagonally,squating and moving forwards diagonally
M001994,Crossing,a person squats and quickly moves forward diagonally,squatting and moving forward
002005,Crossing,person walks forward picks up speed for a second and then slows back to walking speed.,walking and gesturing
M002005,Crossing,person walks forward picks up speed for a second and then slows back to walking speed.,walking and gesturing
002011,Crossing,a man slowly walks forward.,walking
M002011,Crossing,a man slowly walks forward.,walking
002033,Crossing,person walks anti clockwise   from back to front,walking and turning around
M002033,Crossing,person walks anti counterclockwise   from back to front,walking and turning around
002041,Crossing,a man takes steps from left to right,walking across
M002041,Crossing,a man takes steps from right to left,walking across
002062,Crossing,a person walks forward quickly.,walking and quickening pace
M002062,Crossing,a person walks forward quickly.,walking quickly
002065,Crossing,a person jumps forward and lands on both feet.,jumping
M002065,Crossing,a person jumps forward and lands on both feet.,jumping
002082,Crossing,a man runs forward without stopping.,running
M002082,Crossing,a man runs forward without stopping.,running
002083,Crossing,the person is running forward and then turning around and looking around and running back.,running and turning around and looking and running back
M002083,Crossing,the person is running forward and then turning around and looking around and running back.,running and gesturing and turning around
002089,Crossing,"a man walks in a large curvy, zig zag type fashion.",walking and turning around
M002089,Crossing,"a man walks in a large curvy, zig zag type fashion.",walking and turning around
002091,Crossing,"the person swings both arms, squats, and jumps while turning 45 degrees to his left before landing.",swinging and jumping and turning
M002091,Crossing,"the person swings both arms, squats, and jumps while turning 45 degrees to his right before landing.",swinging and jumping and turning
002099,Crossing,a person walking forward in a average pace.,walking
M002099,Crossing,a person walking forward in a average pace.,walking
002104,Crossing,person is walking in us and circles.,walking and turning around
M002104,Crossing,person is walking in us and circles.,walking in a circle
002106,Crossing,a person tip toeing forward.,tip toeing forward
002142,Crossing,a person walks slightly right and walks forward.,walking and turning around
M002142,Crossing,a person walks slightly left and walks forward.,walking and turning around
002161,Crossing,he walks forward directly stops,walking and stopping
M002161,Crossing,he walks forward directly stops,walking and stopping
002198,Crossing,the person is walking forward slowly.,walking
M002198,Crossing,the person is walking forward slowly.,walking
002209,Crossing,"a man walks in a forward arc, skewing to the right side of the screen.",walking and turning around
M002209,Crossing,"a man walks in a forward arc, skewing to the left side of the screen.",walking and turning around
002215,Crossing,a person walking forward slightly to the left,walking and turning around
M002215,Crossing,a person walking forward slightly to the right,walking and turning around
002224,Crossing,person in an aggressive stance walks casually forward in a horizontal direction,standing and gesturing
M002224,Crossing,person in an aggressive stance walks casually forward in a horizontal direction,aggressive walking
002240,Crossing,a person is walking foward.,walking
M002240,Crossing,a person is walking foward.,walking
002241,Crossing,"a person walks forward and puts their hand on something two times, before continuing to walk forward.",walking and gesturing
M002241,Crossing,"a person walks forward and puts their hand on something two times, before continuing to walk forward.",walking and gesturing
002247,Crossing,"a person walking and helping maintain their balance and support,  from holding onto a side rail or wall.",walking and gesturing
M002247,Crossing,"a person walking and helping maintain their balance and support,  from holding onto a side rail or wall.",walking and gesturing
002256,Crossing,a person walking and raising his left palm .,walking and gesturing
M002256,Crossing,a person walking and raising his right palm .,walking and gesturing
002262,Crossing,someone is running forward and jumping over something,running and jumping over
M002262,Crossing,someone is running forward and jumping over something,running and jumping
002265,Crossing,a person walking forward and then turns around,walking and turning around
M002265,Crossing,a person walking forward and then turns around,walking and turning around
002268,Crossing,"a person walks straight/forward, then suddenly gets kicked on their left side which pushes them towards the right side, but successfully recovered, and continued their original path.",walking and turning around
M002268,Crossing,"a person walks straight/forward, then suddenly gets kicked on their right side which pushes them towards the left side, but successfully recovered, and continued their original path.","falling and recovering, then walking in a circle"
002288,Crossing,a person who seems to be stumbling,falling
M002288,Crossing,a person who seems to be stumbling,falling
002296,Crossing,a man walks forward slowly with his hands on some kind of railing on each side.,walking and gesturing
M002296,Crossing,a man walks forward slowly with his hands on some kind of railing on each side.,walking and gesturing
002304,Crossing,the person walked towards someone taking 4 steps,walking
M002304,Crossing,the person walked towards someone taking 4 steps,walking
002305,Crossing,person walks forward and then walks back looks as if they bump into something and turns around,walking and turning around
M002305,Crossing,person walks forward and then walks back looks as if they bump into something and turns around,walking and turning around
002308,Crossing,the person is walking around.,walking
M002308,Crossing,the person is walking around.,walking
002312,Crossing,a person walks very slowly forward.,walking
M002312,Crossing,a person walks very slowly forward.,walking
002314,Crossing,a person quickly walks forward.,walking
M002314,Crossing,a person quickly walks forward.,walking
002320,Crossing,person walking slightly to the left in six steps,walking and turning around
M002320,Crossing,person walking slightly to the right in six steps,walking and turning around
002339,Crossing,the person walks straight forward slowly while swaying their hips.,walking and gesturing
M002339,Crossing,the person walks straight forward slowly while swaying their hips.,walking and gesturing
002341,Crossing,a person walks diagonal in a forward motion then turns on left foot to face backward then stops.,walking and turning around
M002341,Crossing,a person walks diagonal in a forward motion then turns on right foot to face backward then stops.,walking and turning around
002362,Crossing,a person begins walking and then quickly steps to the side.,walking and gesturing
M002362,Crossing,a person begins walking and then quickly steps to the side.,walking and gesturing
002393,Crossing,a person jogs forwards from the left to the right.,jogging across
M002393,Crossing,a person jogs forwards from the right to the left.,jogging
002407,Crossing,a person walking holding a rail.,walking and holding rail
M002407,Crossing,a person walking holding a rail.,walking and holding rail
002423,Crossing,person moves forward two  steps then turns right two steps,walking and turning around
M002423,Crossing,person moves forward two  steps then turns left two steps,walking and turning around
002438,Crossing,person is walking forward.,walking
M002438,Crossing,person is walking forward.,walking
002727,Crossing,person walks forward and to the right,walking and turning around
002732,Crossing,the stick figure is pacinganxiously,pacing
002738,Crossing,he jumps over the beam,jumping
002744,Crossing,"a person walks in a clockwise circle, while holding his right hand up at eye level",walking and gesturing
002758,Crossing,a person waddling forward and turning to the left,waddling and turning around
002761,Crossing,a person walks turning to the left.,walking and turning around
002764,Crossing,a person is walking in a clockwise circle.,walking and turning around
002782,Crossing,person is walking to the other end.,walking to the other end
M002782,Crossing,person is walking to the other end.,walking to the other end
002783,Crossing,the person is walking forwards slowly then trips,walking and falling
M002783,Crossing,the person is walking forwards slowly then trips,walking and tripping
002786,Crossing,a person walks in a clockwise circle with arms and hand above their head,walking and gesturing
M002786,Crossing,a person walks in a counterclockwise circle with arms and hand above their head,walking and gesturing
002804,Crossing,someone is doing a breakdance on the ground and then doing a pose,breaking and gesturing
M002804,Crossing,someone is doing a breakdance on the ground and then doing a pose,breakdancing and gesturing
002821,Crossing,a person starts walking in the shape of a quarter circle.,walking and turning around
M002821,Crossing,a person starts walking in the shape of a quarter circle.,walking and turning around
002822,Crossing,a person walking trying to avoid things in his way on the floor.,walking and gesturing
M002822,Crossing,a person walking trying to avoid things in his way on the floor.,walking and gesturing
002846,Crossing,person moves slowly forward with bent knees and loose arms as if sneaking up on someone.,walking and gesturing
M002846,Crossing,person moves slowly forward with bent knees and loose arms as if sneaking up on someone.,stealthy walking
002859,Crossing,a person is walking in a squiggly pattern.,walking and turning around
M002859,Crossing,a person is walking in a squiggly pattern.,walking and turning around
002861,Crossing,"a man walks forward in a parabol motion,",walking and turning around
M002861,Crossing,"a man walks forward in a parabol motion,",walking and turning around
002862,Crossing,the figure walks and takes a leap forward landing then moving forward.,walking and gesturing and jumping and running
M002862,Crossing,the figure walks and takes a leap forward landing then moving forward.,walking and gesturing
002864,Crossing,a person performs a jump forward,jumping
M002864,Crossing,a person performs a jump forward,jumping
002866,Crossing,a person walks forward and in the middle of walking takes a greater step and continues,walking and gesturing
M002866,Crossing,a person walks forward and in the middle of walking takes a greater step and continues,walking and gesturing
002871,Crossing,a man jumps forward using both feet. he lands on both feet.,jumping
M002871,Crossing,a man jumps forward using both feet. he lands on both feet.,jumping
002875,Crossing,a person walks forwards and then backwards without turning and forwards again.,walking and turning around
M002875,Crossing,a person walks forwards and then backwards without turning and forwards again.,walking and turning around
002887,Crossing,a person runs forward from the right to the left.,running
M002887,Crossing,a person runs forward from the left to the right.,running
002888,Crossing,a person walking down a stage.,walking
M002888,Crossing,a person walking down a stage.,walking down
002921,Crossing,a person kicking a ball.,kicking
M002921,Crossing,a person kicking a ball.,kicking
002925,Crossing,person is running straight ahead,running
M002925,Crossing,person is running straight ahead,running
002940,Crossing,a person walks forward and turns to the right.,walking and turning around
M002940,Crossing,a person walks forward and turns to the left.,walking and turning around
002952,Crossing,a man walks forward before turning around.,walking and turning around
M002952,Crossing,a man walks forward before turning around.,walking and turning around
002965,Crossing,a person walking one side to a room and then jogging to the other side,walking and jogging
M002965,Crossing,a person walking one side to a room and then jogging to the other side,walking and jogging
002979,Crossing,a person walks forward while holding onto something with their right hand.,walking and gesturing
M002979,Crossing,a person walks forward while holding onto something with their left hand.,walking and gesturing
002980,Crossing,he does a weird sexy walk,weird sexy walk
M002980,Crossing,he does a weird sexy walk,sexy walk
002998,Crossing,a person walking and doing a quarter of a circle to the right side.,walking and turning around
M002998,Crossing,a person walking and doing a quarter of a circle to the left side.,walking and turning around
003001,Crossing,"the man darts forward, waits a moment, then darts forward again.",darting and turning around
M003001,Crossing,"the man darts forward, waits a moment, then darts forward again.",darting and turning around
003059,Crossing,a man walks forward limping on his left foot. he walks slightly to the left.,walking and limping around
M003059,Crossing,a man walks forward limping on his right foot. he walks slightly to the right.,walking and gesturing
003114,Crossing,"a person walks forward, takes a quick sidestep to the left, walks straight, and then stops.",walking and turning around
M003114,Crossing,"a person walks forward, takes a quick sidestep to the right, walks straight, and then stops.",walking and turning around
003128,Crossing,a person is walking forward and comes to a stop.,walking and stopping
M003128,Crossing,a person is walking forward and comes to a stop.,walking and stopping
003143,Crossing,a person walks in a s shaped line.,walking in a circle
M003143,Crossing,a person walks in a s shaped line.,walking and turning around
003161,Crossing,a person walks forward in a straight line and then stops.,walking and stopping
M003161,Crossing,a person walks forward in a straight line and then stops.,walking and stopping
003171,Crossing,the person is walking down arms out.,walking and gesturing
M003171,Crossing,the person is walking down arms out.,walking and gesturing
003176,Crossing,"a man running, and coming to complete stop.",running and stopping
M003176,Crossing,"a man running, and coming to complete stop.",running and stopping
003179,Crossing,"a person bends over to begin charging forward, turns around with arms raised, and charges back to original position.",charging and gesturing
M003179,Crossing,"a person bends over to begin charging forward, turns around with arms raised, and charges back to original position.",running and gesturing
003183,Crossing,a man walks forward and then bends down twice before walking again.,walking and gesturing
M003183,Crossing,a man walks forward and then bends down twice before walking again.,walking and gesturing
003185,Crossing,"a person hops on their right foot, jumps with both feet wide apart then jumps again with their feet closer together",hopping and jumping
M003185,Crossing,"a person hops on their left foot, jumps with both feet wide apart then jumps again with their feet closer together",hopping and jumping
003189,Crossing,walking normal right and left infront of one and another,walking and turning around
M003189,Crossing,walking normal left and right infront of one and another,walking and turning around
003190,Crossing,a man walks forward before stopping.,walking and stopping
